Rk,Player,Year,G,QBrec,Passes Completed,Passes Attempted,% Passes Completed,Passing Yards,Passing Touchdowns,Rate,Longest Completed Pass,# Interceptions,Sk,Yds,Y/A,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Y/A,Longest Rushing Attempt
1,Josh Allen,2021,13,7-6-0,325,494,65.8,3524,28,96.2,61,11,22,147,7.1,87,531,4,6.1,34
2,Lamar Jackson,2021,12,7-5-0,246,382,64.4,2882,16,87.0,49,13,38,190,7.5,133,767,2,5.8,31
1,Tom Brady,2021,13,10-3-0,378,554,68.2,4134,36,104.2,62,10,16,107,7.5,26,68,2,2.6,13
2,Patrick Mahomes,2021,13,9-4-0,329,502,65.5,3642,27,94.9,75,12,24,127,7.3,52,270,2,5.2,23
1,Kyler Murray,2021,10,8-2-0,229,320,71.6,2782,19,106.0,77,9,23,199,8.7,66,267,5,4.0,18
2,Aaron Rodgers,2021,12,10-2-0,276,410,67.3,3219,27,108.8,75,4,24,162,7.9,25,76,3,3.0,18
1,Joe Burrow,2021,13,7-6-0,284,413,68.8,3483,25,100.6,82,14,41,291,8.4,28,72,2,2.6,9
2,Dak Prescott,2021,12,8-4-0,309,455,67.9,3381,24,98.1,51,10,22,117,7.4,37,106,1,2.9,21
1,Justin Herbert,2021,13,8-5-0,338,504,67.1,3822,30,100.3,72,11,27,178,7.6,48,268,2,5.6,36
2,Matthew Stafford,2021,13,9-4-0,315,468,67.3,3898,33,108.4,79,9,20,162,8.3,25,39,0,1.6,12
1,Derek Carr,2021,13,6-7-0,339,496,68.3,3926,18,95.7,61,10,31,184,7.9,29,97,0,3.3,22
2,Russell Wilson,2021,10,4-6-0,191,287,66.6,2302,16,103.7,69,4,26,211,8.0,31,141,1,4.5,16